Name,"CAM-B3LYP/6-311G(d,p)","HOMO CAM-B3LYP/6-311G(d,p)","LUMO CAM-B3LYP/6-311G(d,p)","bhandhlyp/6-311G(d,p)","HOMO bhandhlyp/6-311G(d,p)","LUMO bhandhlyp/6-311G(d,p)","PBE1PBE/6-311G(d,p)","HOMO PBE1PBE/6-311G(d,p)","LUMO PBE1PBE/6-311G(d,p)",Exp
T-DAHTDTT,2.747,-6.364,-2.13,2.674,-6.011,-2.243,2.101,-5.398,-3.017,2.857
SGT-129,2.96,-6.218,-2.085,2.852,-5.889,-2.197,1.952,-5.234,-2.995,2.911
TPA-T-TTAR-T-A,2.788,-6.411,-2.158,2.71,-6.047,-2.271,2.116,-5.432,-3.058,3.002
TPA-T-TTAR-A,2.869,-6.504,-2.084,2.818,-6.154,-2.191,2.271,-5.52,-2.952,3.002
RR9,3.119,-7.003,-2.029,3.082,-6.682,-2.143,2.476,-5.896,-2.984,3.108
AP14,3.161,-7.133,-2.094,3.148,-6.817,-2.217,2.682,-6.154,-3.044,3.108
QL4,3.358,-8.02,-2.465,3.335,-7.673,-2.607,3.035,-7.02,-3.43,3.212
AP16,3.195,-6.97,-2.167,3.163,-6.672,-2.29,2.393,-5.862,-3.114,3.229
AP17,3.273,-7.033,-2.155,3.239,-6.714,-2.279,2.457,-5.944,-3.109,3.272
CC3,3.499,-7.819,-2.109,3.483,-7.456,-2.227,3.071,-6.777,-3.09,3.289
AP11,3.197,-7.347,-2.244,3.174,-7.022,-2.372,2.732,-6.355,-3.191,3.289
