Name,"CAM-B3LYP/6-311G(d,p)","bhandhlyp/6-311G(d,p)","PBE1PBE/6-311G(d,p)",LSF
5ed_16b_4ea,1.707467095449627,1.667357035938937,1.5182642203661332,1.527276134213159
6ed_16b_4ea,1.7302199813825445,1.706480174580849,1.548002888852388,1.544215341918735
6ed_16b_5ea,1.7337519806174804,1.7050253747730224,1.5486022005912532,1.548286808173692
7ed_16b_5ea,1.7249248877508148,1.6784157257913999,1.484705996380934,1.56050939795332
1ed_16b_4ea,1.7522493203762093,1.7081021476099294,1.5747790275173394,1.5613398211440295
5ed_16b_5ea,1.7640150710692637,1.7135784227539324,1.5528687497588392,1.583483944342777
3ed_16b_5ea,1.7573899205734607,1.7083845446694517,1.525849376193523,1.5851419728977476
2ed_16b_4ea,1.7879496980050296,1.762160007471334,1.6265665635509459,1.58607823349754
2ed_16b_5ea,1.7972530278827552,1.7613840453094902,1.6168949720399377,1.6008407794905963
7ed_16b_4ea,1.7890331319089727,1.754505488584971,1.5576674547866094,1.612124465281981
3ed_16b_4ea,1.8108222528110582,1.7735014646549219,1.5919436579590052,1.6262652578178303
1ed_16b_5ea,1.8226669127137642,1.7673086299865002,1.6285318931173707,1.6275071127469372
5ed_16b_1ea,1.8172178235204703,1.7754059162083933,1.6035961436740918,1.629844544177842
6ed_16b_1ea,1.841479059146425,1.821515613745763,1.672484528206294,1.6345615641608031
5ed_16b_9ea,1.830496677134126,1.7826034042889378,1.5960006616436637,1.6486867407923338
6ed_16b_7ea,1.8651055202115217,1.8352106117741327,1.6723491901997765,1.6632842528949814
6ed_16b_6ea,1.8744943448435067,1.8528985297173248,1.696812657786787,1.6658977826796733
1ed_16b_1ea,1.8759973888127148,1.8277715192026005,1.675444877796822,1.6753919054534798
6ed_16b_10ea,1.8787544947158803,1.8595674305771093,1.6843662610467933,1.675535720362003
3ed_16b_7ea,1.899155722075336,1.856894117909234,1.734067172984041,1.6824554066124646
2ed_16b_1ea,1.9042888906834392,1.8821765821062648,1.7498507741098008,1.683019722921135
1ed_16b_9ea,1.8768492372365266,1.824544236569595,1.653395141215553,1.6843404970155413
6ed_16b_9ea,1.8897204335051787,1.86918216140947,1.6902900137096892,1.6867181340479023
7ed_16b_6ea,1.902156428319852,1.8737861974997403,1.726005336791053,1.6889909906676859
7ed_16b_1ea,1.8963384576265554,1.8709871807731846,1.7045097515497722,1.6896458847040416
6ed_16b_2ea,1.9146684898127453,1.904610635216079,1.7450487686923752,1.6973405389822869
6ed_16b_11ea,1.9051666319291831,1.88865547796425,1.7120878607922958,1.6976399825225796
5ed_16b_6ea,1.9024482640995233,1.851487545813131,1.6705692803834615,1.7092439428251538
3ed_16b_1ea,1.9233105131800288,1.893876583158854,1.7396138524935862,1.7097797401739596
5ed_16b_10ea,1.9022147883127436,1.855976941008858,1.665789107937275,1.7106764288417478
5ed_16b_11ea,1.9030906181337817,1.8599021359793433,1.667805557650309,1.7110155698746845
5ed_16b_7ea,1.9037626340427858,1.8421903612447121,1.666035301307879,1.7124665912045414
7ed_16b_9ea,1.9159702004935615,1.8886267120406792,1.684434903290672,1.7206776936752326
3ed_16b_6ea,1.9467725159862284,1.9154670570585581,1.7787421879409975,1.7242091431010884
6ed_16b_3ea,1.9502630566638277,1.9386156904107503,1.7829878843606077,1.7269214239799253
5ed_16b_3ea,1.9343516068535946,1.897470166882063,1.7138626336297054,1.7324230933017373
7ed_16b_11ea,1.9426551058396182,1.9220583967161053,1.7243971603796855,1.738719216350808
2ed_16b_6ea,1.963884627902167,1.9381308774088815,1.795327436812168,1.7390238788987449
1ed_16b_6ea,1.9456423053684617,1.889230980509527,1.7276646567057643,1.7411717451755404
7ed_16b_10ea,1.954813352761856,1.931669736665101,1.753984318854572,1.7428546900830473
TPA2_16b_3ea,1.952443322401871,1.9178370979606352,1.7413239068353155,1.7445227710672129
7ed_16b_7ea,1.9642268276979333,1.9304968770354778,1.7785380867146128,1.7454657232828237
2ed_16b_10ea,1.967592951646956,1.9449709101506232,1.7864042096688346,1.7467274547854261
1ed_16b_11ea,1.951152999209196,1.902419076491912,1.7270149777958612,1.7480929670508194
2ed_16b_9ea,1.9685300345405348,1.945245515816814,1.783372530320905,1.7489529607052465
1ed_16b_10ea,1.9528738094642626,1.901543864526036,1.7293754066238434,1.7493341421185322
3ed_16b_10ea,1.9608101868426577,1.932813894563835,1.7522245595509605,1.7507643763283358
1ed_16b_7ea,1.9551523983119865,1.889259764843569,1.73263760400384,1.7509285720042989
1ed_16b_8ea,1.9790550849997262,1.970720036327185,1.8074963982004113,1.753067363261783
2ed_16b_2ea,1.988289511837454,1.9755867094564385,1.8349661922242042,1.7544143885091072
2ed_16b_11ea,1.978360435970242,1.958332813306319,1.7996527735877452,1.7550397750880316
7ed_16b_2ea,1.9825673579941292,1.9684987840637354,1.8121983983301837,1.75564222925756
3ed_16b_9ea,1.9655033509659972,1.9349552993842896,1.7421067662162864,1.760091987110547
2ed_16b_3ea,1.9991564086954312,1.9845981243216793,1.8505204662986927,1.7620197257702226
3ed_16b_11ea,1.9735115133330596,1.9493739255736962,1.7626108799679148,1.762451094331357
5ed_16b_8ea,1.982123681736326,1.975901513890988,1.773247846438377,1.7690850613919
1ed_16b_3ea,1.9867922099234574,1.9433858164709092,1.7809136600132538,1.7719993488219847
2ed_16b_7ea,1.9967741611230727,1.9628587435414309,1.8065483967677678,1.7749122960554917
1ed_16b_2ea,1.9926028508073732,1.9472005057355073,1.779533522850459,1.7795467975056807
3ed_16b_2ea,2.016812377498541,1.999027493241058,1.8472399393052397,1.7846253285929619
7ed_16b_3ea,2.0212834434567757,2.0048451965358582,1.8410962777945807,1.7922568770424387
5ed_16b_2ea,2.006110164950297,1.9663448947169062,1.7831673651582973,1.7946354988759055
TPA2_16b_2ea,2.029354948296202,1.990683503062174,1.8116688641353322,1.8126157767355737
