Name,LUMO,HOMO,Wavelength
19ed_30b_7ea,-5.4,-3.15,747.5 nm
16ed_35b_12ea,-5.22,-3.15,738.7 nm
20ed_34b_4ea,-5.28,-3.15,728.63 nm
13ed_35b_3ea,-5.28,-3.15,720.62 nm
11ed_34b_11ea,-5.17,-3.16,729.0 nm
3ed_34b_12ea,-5.28,-3.16,740.22 nm
13ed_34b_1ea,-5.28,-3.16,721.34 nm
11ed_33b_4ea,-5.17,-3.16,749.45 nm
5ed_33b_8ea,-5.18,-3.16,744.8 nm
17ed_33b_12ea,-5.41,-3.16,740.22 nm
21ed_35b_12ea,-5.38,-3.16,718.47 nm
11ed_34b_1ea,-5.16,-3.16,725.33 nm
5ed_35b_12ea,-5.18,-3.16,726.79 nm
2ed_35b_12ea,-5.27,-3.16,734.19 nm
9ed_31b_4ea,-5.04,-3.16,786.2 nm
10ed_18b_12ea,-5.47,-3.16,661.78 nm
3ed_16b_4ea,-5.36,-3.16,796.62 nm
11ed_18b_7ea,-5.24,-3.16,665.44 nm
13ed_1b_8ea,-5.48,-3.16,647.81 nm
3ed_12b_13ea,-5.33,-3.16,741.74 nm
17ed_30b_7ea,-5.35,-3.16,757.31 nm
5ed_31b_12ea,-5.18,-3.17,758.51 nm
1ed_33b_12ea,-5.34,-3.17,745.19 nm
7ed_32b_8ea,-5.43,-3.17,722.79 nm
16ed_18b_12ea,-5.54,-3.17,679.23 nm
16ed_34b_12ea,-5.23,-3.17,750.23 nm
1ed_35b_4ea,-5.33,-3.17,719.54 nm
14ed_35b_12ea,-5.23,-3.17,719.9 nm
14ed_31b_12ea,-5.26,-3.17,734.94 nm
7ed_35b_8ea,-5.23,-3.17,741.36 nm
1ed_31b_4ea,-5.34,-3.17,741.74 nm
2ed_33b_8ea,-5.28,-3.17,761.71 nm
6ed_35b_8ea,-5.15,-3.17,747.5 nm
10ed_11b_13ea,-5.19,-3.17,766.98 nm
2ed_18b_12ea,-5.65,-3.17,656.06 nm
20ed_12b_13ea,-5.32,-3.17,750.62 nm
20ed_18b_12ea,-5.53,-3.17,651.03 nm
13ed_15b_4ea,-5.51,-3.17,609.24 nm
5ed_32b_12ea,-5.25,-3.18,713.85 nm
11ed_1b_8ea,-5.34,-3.18,675.41 nm
14ed_16b_3ea,-5.3,-3.18,670.08 nm
10ed_34b_12ea,-5.28,-3.18,732.33 nm
21ed_39b_7ea,-5.47,-3.18,748.67 nm
7ed_21b_13ea,-5.41,-3.18,711.03 nm
19ed_35b_4ea,-5.41,-3.18,716.33 nm
17ed_35b_4ea,-5.39,-3.18,718.83 nm
5ed_34b_4ea,-5.19,-3.18,727.16 nm
9ed_32b_4ea,-5.11,-3.19,739.08 nm
20ed_34b_12ea,-5.3,-3.19,730.47 nm
20ed_11b_13ea,-5.23,-3.19,759.31 nm
3ed_33b_8ea,-5.32,-3.19,763.32 nm
11ed_35b_4ea,-5.17,-3.19,727.16 nm
1ed_32b_4ea,-5.45,-3.19,695.6 nm
20ed_33b_8ea,-5.31,-3.19,751.4 nm
21ed_11b_13ea,-5.46,-3.19,725.33 nm
19ed_31b_4ea,-5.51,-3.19,727.52 nm
14ed_32b_12ea,-5.25,-3.19,690.94 nm
21ed_31b_8ea,-5.52,-3.19,718.83 nm
9ed_31b_12ea,-5.04,-3.19,795.74 nm
14ed_34b_4ea,-5.25,-3.2,715.26 nm
21ed_30b_2ea,-5.34,-3.2,772.73 nm
13ed_30b_7ea,-5.19,-3.2,788.35 nm
11ed_15b_12ea,-5.33,-3.2,657.56 nm
17ed_31b_4ea,-5.47,-3.2,733.07 nm
13ed_33b_12ea,-5.28,-3.2,754.94 nm
14ed_36b_7ea,-5.17,-3.2,721.7 nm
17ed_34b_3ea,-5.46,-3.2,705.12 nm
7ed_36b_2ea,-5.45,-3.2,793.55 nm
11ed_16b_3ea,-5.16,-3.2,793.55 nm
1ed_35b_12ea,-5.34,-3.2,722.42 nm
16ed_11b_13ea,-5.31,-3.2,756.92 nm
6ed_34b_8ea,-5.19,-3.2,757.71 nm
11ed_33b_12ea,-5.16,-3.2,760.11 nm
3ed_31b_8ea,-5.37,-3.2,762.52 nm
14ed_16b_1ea,-5.3,-3.21,712.08 nm
11ed_4b_8ea,-5.37,-3.21,630.82 nm
1ed_33b_8ea,-5.36,-3.21,735.31 nm
9ed_34b_4ea,-5.08,-3.21,745.19 nm
13ed_34b_3ea,-5.3,-3.21,719.54 nm
5ed_30b_2ea,-5.17,-3.21,764.94 nm
19ed_32b_4ea,-5.66,-3.21,681.15 nm
5ed_18b_12ea,-5.34,-3.21,664.22 nm
19ed_35b_12ea,-5.42,-3.21,717.04 nm
9ed_18b_4ea,-5.21,-3.21,691.93 nm
5ed_12b_13ea,-5.28,-3.21,758.91 nm
2ed_11b_13ea,-5.34,-3.21,751.4 nm
21ed_32b_8ea,-5.67,-3.21,674.78 nm
6ed_17b_13ea,-5.25,-3.21,791.81 nm
17ed_32b_4ea,-5.61,-3.21,686.01 nm
1ed_31b_12ea,-5.35,-3.22,747.12 nm
16ed_31b_8ea,-5.28,-3.22,776.89 nm
5ed_18b_8ea,-5.44,-3.22,620.24 nm
10ed_35b_8ea,-5.28,-3.22,727.89 nm
10ed_16b_8ea,-5.46,-3.22,715.97 nm
21ed_29b_8ea,-5.25,-3.22,792.68 nm
7ed_30b_6ea,-5.26,-3.22,798.83 nm
13ed_31b_4ea,-5.27,-3.22,760.51 nm
10ed_30b_6ea,-5.23,-3.22,789.21 nm
7ed_34b_8ea,-5.27,-3.22,747.5 nm
13ed_35b_12ea,-5.3,-3.22,727.16 nm
9ed_32b_12ea,-5.11,-3.22,745.57 nm
21ed_16b_12ea,-5.38,-3.22,753.36 nm
11ed_35b_12ea,-5.18,-3.22,727.52 nm
5ed_34b_12ea,-5.2,-3.22,730.84 nm
16ed_17b_13ea,-5.31,-3.22,764.94 nm
20ed_30b_10ea,-5.22,-3.22,781.1 nm
1ed_16b_1ea,-5.34,-3.23,769.02 nm
2ed_31b_8ea,-5.34,-3.23,769.02 nm
11ed_31b_4ea,-5.15,-3.23,769.43 nm
1ed_34b_4ea,-5.36,-3.23,719.9 nm
1ed_32b_12ea,-5.45,-3.23,700.67 nm
5ed_30b_6ea,-5.18,-3.23,771.9 nm
3ed_35b_8ea,-5.32,-3.23,731.95 nm
6ed_5b_13ea,-5.28,-3.23,766.98 nm
20ed_30b_6ea,-5.25,-3.23,784.49 nm
14ed_33b_8ea,-5.23,-3.23,738.32 nm
13ed_35b_9ea,-5.2,-3.23,766.98 nm
14ed_34b_12ea,-5.26,-3.23,717.39 nm
6ed_7b_13ea,-5.27,-3.23,789.64 nm
10ed_39b_7ea,-5.25,-3.23,769.02 nm
9ed_34b_12ea,-5.08,-3.23,752.18 nm
9ed_15b_8ea,-5.37,-3.23,651.91 nm
19ed_31b_12ea,-5.51,-3.23,729.36 nm
1ed_30b_2ea,-5.28,-3.24,767.79 nm
20ed_39b_7ea,-5.28,-3.24,766.57 nm
2ed_35b_8ea,-5.3,-3.24,734.19 nm
20ed_35b_8ea,-5.32,-3.24,724.97 nm
10ed_31b_8ea,-5.32,-3.24,750.62 nm
14ed_12b_13ea,-5.36,-3.24,731.58 nm
7ed_5b_13ea,-5.38,-3.24,741.74 nm
17ed_31b_12ea,-5.47,-3.24,736.06 nm
20ed_31b_8ea,-5.35,-3.24,746.73 nm
11ed_32b_4ea,-5.21,-3.24,723.15 nm
13ed_32b_4ea,-5.36,-3.24,712.44 nm
19ed_34b_4ea,-5.48,-3.25,711.38 nm
16ed_12b_13ea,-5.34,-3.25,769.02 nm
1ed_36b_7ea,-5.27,-3.25,787.92 nm
17ed_34b_4ea,-5.45,-3.25,714.2 nm
14ed_33b_4ea,-5.21,-3.25,797.5 nm
9ed_12b_13ea,-5.16,-3.25,776.89 nm
5ed_35b_8ea,-5.2,-3.25,724.97 nm
3ed_14b_13ea,-5.46,-3.25,712.44 nm
17ed_33b_1ea,-5.28,-3.25,793.99 nm
19ed_32b_12ea,-5.65,-3.25,686.01 nm
13ed_1b_12ea,-5.26,-3.25,760.51 nm
5ed_30b_3ea,-5.19,-3.25,773.14 nm
17ed_32b_12ea,-5.6,-3.26,691.27 nm
13ed_34b_4ea,-5.3,-3.26,730.1 nm
11ed_34b_4ea,-5.18,-3.26,735.69 nm
2ed_32b_8ea,-5.48,-3.26,722.42 nm
11ed_1b_12ea,-5.14,-3.26,794.43 nm
13ed_38b_7ea,-5.24,-3.26,726.43 nm
1ed_34b_12ea,-5.37,-3.26,722.42 nm
14ed_35b_8ea,-5.24,-3.26,717.75 nm
13ed_31b_12ea,-5.29,-3.26,764.94 nm
14ed_18b_12ea,-5.25,-3.26,601.87 nm
20ed_16b_8ea,-5.53,-3.26,700.67 nm
9ed_33b_8ea,-5.08,-3.27,766.57 nm
11ed_31b_12ea,-5.17,-3.27,773.97 nm
3ed_30b_6ea,-5.35,-3.27,784.49 nm
5ed_31b_8ea,-5.23,-3.27,744.8 nm
6ed_22b_13ea,-5.39,-3.27,736.06 nm
3ed_32b_8ea,-5.54,-3.27,711.73 nm
16ed_32b_8ea,-5.42,-3.27,731.58 nm
21ed_2b_13ea,-5.56,-3.27,633.87 nm
21ed_30b_1ea,-5.36,-3.28,781.52 nm
3ed_34b_8ea,-5.35,-3.28,737.57 nm
21ed_36b_2ea,-5.93,-3.28,643.77 nm
21ed_34b_8ea,-5.47,-3.28,712.79 nm
1ed_35b_8ea,-5.37,-3.28,719.18 nm
6ed_21b_13ea,-5.38,-3.28,751.79 nm
20ed_30b_11ea,-5.25,-3.28,796.18 nm
17ed_34b_12ea,-5.47,-3.28,716.33 nm
16ed_34b_8ea,-5.28,-3.28,748.67 nm
6ed_23b_13ea,-5.17,-3.28,770.66 nm
5ed_11b_13ea,-5.19,-3.28,790.51 nm
14ed_35b_4ea,-5.22,-3.29,746.34 nm
5ed_16b_8ea,-5.4,-3.29,727.89 nm
9ed_18b_10ea,-5.2,-3.29,719.54 nm
13ed_32b_12ea,-5.37,-3.29,718.83 nm
1ed_12b_13ea,-5.4,-3.29,747.89 nm
14ed_39b_7ea,-5.17,-3.29,742.12 nm
16ed_30b_6ea,-5.29,-3.29,793.12 nm
1ed_30b_9ea,-5.28,-3.29,769.84 nm
5ed_39b_7ea,-5.11,-3.29,765.35 nm
5ed_30b_5ea,-5.17,-3.29,793.99 nm
11ed_34b_12ea,-5.19,-3.29,738.32 nm
13ed_34b_12ea,-5.31,-3.29,733.07 nm
11ed_33b_8ea,-5.18,-3.29,751.79 nm
20ed_30b_2ea,-5.27,-3.29,790.51 nm
10ed_30b_11ea,-5.24,-3.29,799.71 nm
10ed_32b_8ea,-5.45,-3.29,704.09 nm
2ed_30b_6ea,-5.35,-3.29,784.07 nm
11ed_32b_12ea,-5.22,-3.29,730.1 nm
2ed_34b_8ea,-5.33,-3.3,742.88 nm
14ed_30b_5ea,-5.24,-3.3,776.05 nm
7ed_22b_13ea,-5.45,-3.3,718.47 nm
20ed_32b_8ea,-5.49,-3.3,699.99 nm
19ed_35b_8ea,-5.48,-3.3,714.2 nm
21ed_36b_6ea,-5.89,-3.3,659.06 nm
14ed_30b_6ea,-5.25,-3.3,751.4 nm
2ed_14b_13ea,-5.43,-3.3,727.89 nm
16ed_5b_13ea,-5.39,-3.3,736.06 nm
10ed_34b_8ea,-5.33,-3.3,728.26 nm
14ed_31b_8ea,-5.27,-3.3,719.9 nm
1ed_18b_12ea,-5.54,-3.3,646.94 nm
3ed_36b_2ea,-5.57,-3.3,776.05 nm
11ed_35b_8ea,-5.19,-3.31,726.79 nm
13ed_35b_8ea,-5.32,-3.31,724.6 nm
20ed_34b_8ea,-5.36,-3.31,727.52 nm
2ed_12b_13ea,-5.46,-3.31,746.73 nm
2ed_30b_10ea,-5.32,-3.31,796.62 nm
17ed_35b_8ea,-5.47,-3.31,715.62 nm
19ed_36b_7ea,-5.67,-3.31,716.68 nm
2ed_5b_13ea,-5.44,-3.31,726.43 nm
1ed_30b_10ea,-5.32,-3.31,756.52 nm
20ed_28b_8ea,-5.45,-3.31,694.93 nm
13ed_18b_4ea,-5.46,-3.31,639.77 nm
9ed_39b_7ea,-5.0,-3.32,796.62 nm
17ed_36b_7ea,-5.54,-3.32,730.1 nm
17ed_35b_3ea,-5.36,-3.32,747.89 nm
3ed_30b_10ea,-5.35,-3.32,790.94 nm
16ed_14b_13ea,-5.37,-3.32,761.31 nm
6ed_19b_13ea,-5.37,-3.32,724.24 nm
20ed_36b_2ea,-5.39,-3.32,778.99 nm
14ed_30b_10ea,-5.25,-3.32,764.13 nm
9ed_35b_12ea,-5.08,-3.32,767.38 nm
19ed_16b_3ea,-5.86,-3.32,662.39 nm
5ed_30b_11ea,-5.18,-3.32,788.78 nm
21ed_36b_9ea,-5.48,-3.33,742.88 nm
16ed_7b_13ea,-5.37,-3.33,767.79 nm
9ed_31b_8ea,-5.09,-3.33,785.77 nm
2ed_30b_11ea,-5.33,-3.33,794.87 nm
21ed_39b_6ea,-5.59,-3.33,735.69 nm
2ed_30b_9ea,-5.32,-3.33,798.38 nm
19ed_16b_1ea,-5.68,-3.33,703.06 nm
21ed_39b_5ea,-5.49,-3.33,762.52 nm
5ed_32b_8ea,-5.31,-3.33,704.43 nm
3ed_30b_4ea,-5.76,-3.33,691.6 nm
2ed_17b_13ea,-5.38,-3.33,772.31 nm
14ed_30b_9ea,-5.25,-3.33,763.32 nm
1ed_39b_7ea,-5.34,-3.34,750.62 nm
3ed_30b_11ea,-5.37,-3.34,787.92 nm
19ed_12b_13ea,-5.56,-3.34,725.33 nm
13ed_15b_8ea,-5.6,-3.34,603.63 nm
3ed_5b_13ea,-5.47,-3.34,734.56 nm
9ed_18b_12ea,-5.17,-3.34,750.62 nm
5ed_34b_8ea,-5.23,-3.34,726.79 nm
21ed_39b_2ea,-5.58,-3.34,744.8 nm
21ed_30b_3ea,-5.43,-3.34,771.49 nm
1ed_31b_8ea,-5.42,-3.34,733.82 nm
17ed_12b_13ea,-5.52,-3.34,734.56 nm
21ed_21b_13ea,-5.77,-3.35,656.96 nm
3ed_21b_13ea,-5.55,-3.35,722.79 nm
1ed_30b_6ea,-5.34,-3.35,771.9 nm
7ed_19b_13ea,-5.5,-3.35,709.63 nm
21ed_14b_13ea,-5.68,-3.35,672.27 nm
2ed_30b_2ea,-5.36,-3.35,791.81 nm
9ed_18b_8ea,-5.29,-3.35,687.32 nm
5ed_21b_13ea,-5.25,-3.35,736.81 nm
7ed_17b_13ea,-5.34,-3.35,783.22 nm
19ed_29b_8ea,-5.33,-3.35,797.06 nm
17ed_39b_7ea,-5.54,-3.35,740.98 nm
10ed_14b_13ea,-5.35,-3.35,733.07 nm
10ed_23b_13ea,-5.28,-3.35,746.73 nm
10ed_17b_13ea,-5.3,-3.35,766.57 nm
21ed_39b_9ea,-5.56,-3.36,745.57 nm
14ed_34b_8ea,-5.26,-3.36,711.38 nm
17ed_35b_12ea,-5.39,-3.36,749.06 nm
21ed_36b_10ea,-5.67,-3.36,709.28 nm
20ed_23b_13ea,-5.3,-3.36,744.42 nm
13ed_16b_3ea,-5.36,-3.36,773.14 nm
20ed_14b_13ea,-5.39,-3.36,726.43 nm
14ed_30b_11ea,-5.25,-3.36,763.32 nm
14ed_32b_8ea,-5.27,-3.36,676.68 nm
16ed_35b_8ea,-5.19,-3.36,791.81 nm
11ed_15b_8ea,-5.43,-3.36,639.49 nm
9ed_34b_8ea,-5.1,-3.36,749.84 nm
3ed_30b_2ea,-5.4,-3.36,784.07 nm
7ed_23b_13ea,-5.28,-3.36,774.39 nm
3ed_22b_13ea,-5.56,-3.36,706.16 nm
21ed_39b_11ea,-5.57,-3.36,744.8 nm
14ed_30b_2ea,-5.26,-3.37,755.73 nm
17ed_18b_12ea,-5.79,-3.37,611.31 nm
1ed_11b_13ea,-5.33,-3.37,773.97 nm
19ed_30b_9ea,-5.42,-3.37,769.43 nm
20ed_39b_5ea,-5.29,-3.37,784.92 nm
20ed_5b_13ea,-5.39,-3.37,726.06 nm
13ed_39b_7ea,-5.26,-3.37,766.57 nm
19ed_31b_8ea,-5.65,-3.37,714.2 nm
1ed_30b_3ea,-5.35,-3.37,758.11 nm
10ed_39b_9ea,-5.27,-3.37,787.06 nm
14ed_11b_13ea,-5.28,-3.37,734.19 nm
20ed_39b_9ea,-5.31,-3.37,783.22 nm
17ed_31b_8ea,-5.59,-3.37,720.26 nm
7ed_7b_13ea,-5.43,-3.38,761.31 nm
13ed_12b_13ea,-5.36,-3.38,766.16 nm
19ed_30b_5ea,-5.44,-3.38,769.43 nm
2ed_21b_13ea,-5.53,-3.38,733.82 nm
16ed_23b_13ea,-5.31,-3.38,751.79 nm
10ed_39b_6ea,-5.31,-3.38,769.02 nm
3ed_23b_13ea,-5.39,-3.38,739.84 nm
11ed_39b_7ea,-5.12,-3.38,776.89 nm
20ed_39b_6ea,-5.35,-3.38,764.94 nm
9ed_32b_8ea,-5.16,-3.38,742.88 nm
3ed_39b_6ea,-5.4,-3.38,795.74 nm
19ed_30b_6ea,-5.56,-3.38,744.42 nm
7ed_36b_3ea,-5.58,-3.38,784.92 nm
10ed_39b_2ea,-5.31,-3.38,770.25 nm
1ed_34b_8ea,-5.42,-3.39,716.68 nm
5ed_30b_1ea,-5.2,-3.39,794.43 nm
2ed_22b_13ea,-5.54,-3.39,718.83 nm
16ed_21b_13ea,-5.48,-3.39,741.74 nm
1ed_30b_5ea,-5.32,-3.39,774.39 nm
20ed_17b_13ea,-5.34,-3.39,765.35 nm
3ed_39b_2ea,-5.4,-3.39,797.06 nm
20ed_39b_2ea,-5.35,-3.39,766.57 nm
13ed_31b_8ea,-5.34,-3.39,752.97 nm
21ed_7b_13ea,-5.52,-3.39,728.63 nm
21ed_36b_5ea,-5.58,-3.39,753.75 nm
17ed_30b_9ea,-5.39,-3.39,782.37 nm
2ed_7b_13ea,-5.42,-3.39,775.22 nm
19ed_30b_10ea,-5.51,-3.39,756.12 nm
1ed_32b_8ea,-5.52,-3.4,690.28 nm
10ed_39b_10ea,-5.3,-3.4,779.83 nm
11ed_31b_8ea,-5.21,-3.4,764.13 nm
20ed_39b_10ea,-5.34,-3.4,776.47 nm
21ed_20b_13ea,-5.56,-3.4,734.56 nm
21ed_36b_11ea,-5.73,-3.4,702.38 nm
21ed_17b_13ea,-5.48,-3.4,753.36 nm
19ed_11b_13ea,-5.55,-3.4,720.98 nm
17ed_11b_13ea,-5.49,-3.4,732.33 nm
10ed_21b_13ea,-5.33,-3.4,764.94 nm
9ed_21b_13ea,-5.11,-3.4,787.06 nm
17ed_30b_10ea,-5.46,-3.4,766.98 nm
21ed_30b_4ea,-5.38,-3.4,798.83 nm
21ed_39b_1ea,-5.62,-3.41,746.34 nm
19ed_34b_8ea,-5.58,-3.41,706.85 nm
17ed_34b_8ea,-5.55,-3.41,709.98 nm
14ed_16b_4ea,-5.31,-3.41,761.31 nm
10ed_5b_13ea,-5.34,-3.41,758.51 nm
5ed_14b_13ea,-5.28,-3.41,739.08 nm
10ed_39b_11ea,-5.31,-3.41,778.57 nm
13ed_18b_12ea,-5.43,-3.41,688.3 nm
10ed_22b_13ea,-5.37,-3.41,745.57 nm
3ed_6b_13ea,-5.25,-3.41,799.71 nm
11ed_34b_8ea,-5.21,-3.42,736.44 nm
6ed_4b_13ea,-5.41,-3.42,763.32 nm
20ed_39b_11ea,-5.35,-3.42,775.22 nm
1ed_30b_11ea,-5.35,-3.42,784.07 nm
9ed_23b_13ea,-5.11,-3.42,764.94 nm
21ed_5b_13ea,-5.69,-3.42,693.6 nm
5ed_5b_13ea,-5.28,-3.42,739.08 nm
19ed_32b_8ea,-5.82,-3.42,671.01 nm
1ed_30b_1ea,-5.35,-3.43,787.49 nm
10ed_30b_3ea,-5.31,-3.43,798.38 nm
11ed_12b_13ea,-5.29,-3.43,753.36 nm
14ed_39b_9ea,-5.2,-3.43,758.11 nm
5ed_39b_5ea,-5.14,-3.43,783.64 nm
5ed_17b_13ea,-5.27,-3.43,780.25 nm
14ed_39b_5ea,-5.2,-3.43,757.31 nm
19ed_30b_11ea,-5.54,-3.43,754.54 nm
14ed_30b_1ea,-5.27,-3.43,763.73 nm
5ed_39b_6ea,-5.15,-3.44,766.57 nm
14ed_39b_6ea,-5.21,-3.44,737.57 nm
7ed_4b_13ea,-5.5,-3.44,747.5 nm
20ed_30b_3ea,-5.35,-3.44,792.68 nm
14ed_39b_2ea,-5.2,-3.44,739.08 nm
16ed_30b_3ea,-5.35,-3.44,798.38 nm
2ed_23b_13ea,-5.35,-3.44,767.79 nm
14ed_21b_13ea,-5.22,-3.44,684.38 nm
3ed_30b_1ea,-5.42,-3.44,794.87 nm
3ed_7b_13ea,-5.54,-3.44,733.44 nm
17ed_30b_11ea,-5.48,-3.44,765.75 nm
19ed_30b_2ea,-5.59,-3.44,747.12 nm
16ed_22b_13ea,-5.5,-3.45,729.0 nm
5ed_39b_2ea,-5.15,-3.45,768.2 nm
13ed_32b_8ea,-5.41,-3.45,711.03 nm
14ed_14b_13ea,-5.27,-3.45,665.14 nm
3ed_17b_13ea,-5.46,-3.45,771.08 nm
2ed_19b_13ea,-5.55,-3.45,701.35 nm
21ed_23b_13ea,-5.47,-3.45,749.45 nm
10ed_39b_1ea,-5.33,-3.45,774.8 nm
21ed_39b_3ea,-5.65,-3.45,742.5 nm
5ed_39b_10ea,-5.15,-3.45,778.15 nm
14ed_39b_10ea,-5.21,-3.45,749.45 nm
13ed_18b_8ea,-5.53,-3.45,632.75 nm
17ed_30b_2ea,-5.52,-3.46,758.51 nm
11ed_32b_8ea,-5.26,-3.46,725.33 nm
19ed_14b_13ea,-5.9,-3.46,636.66 nm
16ed_19b_13ea,-5.49,-3.46,723.15 nm
9ed_14b_13ea,-5.15,-3.46,786.63 nm
5ed_39b_9ea,-5.15,-3.46,777.73 nm
5ed_22b_13ea,-5.3,-3.46,748.67 nm
14ed_36b_2ea,-5.23,-3.46,692.27 nm
1ed_16b_8ea,-5.58,-3.47,729.0 nm
9ed_16b_8ea,-5.27,-3.47,790.51 nm
5ed_39b_11ea,-5.16,-3.47,776.89 nm
14ed_39b_11ea,-5.21,-3.47,747.12 nm
21ed_19b_13ea,-5.84,-3.47,648.98 nm
20ed_21b_13ea,-5.41,-3.47,758.51 nm
1ed_14b_13ea,-5.5,-3.47,692.93 nm
17ed_33b_8ea,-5.39,-3.47,793.99 nm
14ed_5b_13ea,-5.3,-3.48,689.95 nm
14ed_10b_13ea,-5.3,-3.48,793.55 nm
1ed_39b_5ea,-5.37,-3.48,766.98 nm
11ed_18b_8ea,-5.36,-3.48,672.58 nm
2ed_30b_3ea,-5.43,-3.48,796.18 nm
10ed_7b_13ea,-5.37,-3.48,785.35 nm
1ed_39b_6ea,-5.4,-3.48,747.5 nm
21ed_36b_1ea,-5.93,-3.48,672.89 nm
13ed_30b_2ea,-5.3,-3.48,797.94 nm
21ed_36b_3ea,-6.08,-3.48,638.64 nm
1ed_36b_2ea,-5.43,-3.48,772.73 nm
1ed_39b_9ea,-5.37,-3.48,767.38 nm
3ed_19b_13ea,-5.59,-3.48,722.06 nm
3ed_36b_3ea,-5.71,-3.49,767.79 nm
14ed_23b_13ea,-5.41,-3.49,746.34 nm
1ed_39b_2ea,-5.39,-3.49,749.45 nm
14ed_6b_13ea,-5.3,-3.49,788.35 nm
17ed_39b_9ea,-5.54,-3.49,756.92 nm
14ed_36b_6ea,-5.24,-3.49,715.26 nm
20ed_39b_3ea,-5.37,-3.49,771.08 nm
10ed_39b_3ea,-5.35,-3.49,772.31 nm
1ed_5b_13ea,-5.47,-3.49,718.11 nm
17ed_39b_5ea,-5.56,-3.5,755.33 nm
11ed_21b_13ea,-5.19,-3.5,774.39 nm
7ed_13b_13ea,-5.39,-3.5,785.77 nm
1ed_39b_10ea,-5.39,-3.5,759.71 nm
3ed_39b_3ea,-5.46,-3.5,797.94 nm
19ed_39b_5ea,-5.62,-3.5,751.79 nm
1ed_23b_13ea,-5.38,-3.5,756.52 nm
17ed_39b_6ea,-5.63,-3.5,735.31 nm
20ed_7b_13ea,-5.42,-3.5,775.64 nm
3ed_30b_3ea,-5.49,-3.5,784.07 nm
19ed_39b_6ea,-5.72,-3.5,731.58 nm
13ed_39b_9ea,-5.29,-3.51,784.07 nm
19ed_30b_1ea,-5.6,-3.51,754.15 nm
5ed_39b_1ea,-5.17,-3.51,772.31 nm
19ed_39b_2ea,-5.7,-3.51,737.95 nm
14ed_39b_1ea,-5.22,-3.51,740.22 nm
1ed_6b_13ea,-5.28,-3.51,799.71 nm
14ed_16b_8ea,-5.35,-3.51,668.53 nm
17ed_39b_2ea,-5.62,-3.51,736.44 nm
14ed_30b_3ea,-5.28,-3.51,753.36 nm
19ed_16b_4ea,-5.64,-3.51,748.28 nm
20ed_36b_3ea,-5.5,-3.51,782.79 nm
1ed_17b_13ea,-5.42,-3.52,760.11 nm
13ed_39b_5ea,-5.29,-3.52,784.49 nm
17ed_39b_10ea,-5.6,-3.52,747.5 nm
1ed_36b_6ea,-5.41,-3.52,795.74 nm
1ed_39b_11ea,-5.39,-3.52,758.51 nm
11ed_39b_5ea,-5.14,-3.52,796.18 nm
17ed_21b_13ea,-5.66,-3.52,688.63 nm
17ed_30b_1ea,-5.53,-3.52,766.16 nm
19ed_39b_10ea,-5.66,-3.52,743.65 nm
13ed_39b_6ea,-5.31,-3.52,765.75 nm
14ed_17b_13ea,-5.32,-3.52,727.89 nm
11ed_39b_6ea,-5.15,-3.52,778.57 nm
3ed_4b_13ea,-5.59,-3.52,739.08 nm
2ed_13b_13ea,-5.44,-3.52,768.2 nm
11ed_39b_9ea,-5.14,-3.52,796.62 nm
13ed_39b_2ea,-5.31,-3.53,766.57 nm
16ed_13b_13ea,-5.37,-3.53,799.71 nm
21ed_39b_12ea,-5.63,-3.53,751.79 nm
11ed_39b_2ea,-5.15,-3.53,779.83 nm
10ed_13b_13ea,-5.37,-3.53,769.84 nm
19ed_39b_9ea,-5.67,-3.53,742.88 nm
16ed_4b_13ea,-5.51,-3.53,753.36 nm
19ed_23b_13ea,-5.56,-3.53,738.32 nm
7ed_2b_13ea,-5.35,-3.53,787.06 nm
11ed_39b_10ea,-5.15,-3.53,790.08 nm
13ed_23b_13ea,-5.33,-3.53,762.92 nm
1ed_21b_13ea,-5.48,-3.54,737.19 nm
17ed_39b_11ea,-5.61,-3.54,745.19 nm
13ed_39b_10ea,-5.3,-3.54,777.73 nm
21ed_22b_13ea,-5.86,-3.54,663.91 nm
19ed_10b_13ea,-5.39,-3.54,785.77 nm
11ed_23b_13ea,-5.22,-3.54,773.14 nm
19ed_39b_11ea,-5.69,-3.54,741.36 nm
5ed_7b_13ea,-5.33,-3.54,791.38 nm
17ed_23b_13ea,-5.52,-3.54,745.57 nm
17ed_10b_13ea,-5.36,-3.54,793.55 nm
14ed_36b_10ea,-5.23,-3.54,769.02 nm
21ed_13b_13ea,-5.48,-3.55,769.02 nm
10ed_39b_4ea,-5.36,-3.55,786.2 nm
17ed_16b_4ea,-5.52,-3.55,779.83 nm
20ed_39b_4ea,-5.4,-3.55,781.1 nm
7ed_15b_13ea,-5.64,-3.55,716.68 nm
14ed_20b_13ea,-5.3,-3.55,774.39 nm
13ed_14b_13ea,-5.37,-3.55,747.12 nm
17ed_14b_13ea,-5.66,-3.55,693.93 nm
11ed_39b_11ea,-5.16,-3.55,788.35 nm
19ed_6b_13ea,-5.42,-3.55,780.67 nm
1ed_39b_1ea,-5.42,-3.55,751.79 nm
5ed_39b_3ea,-5.18,-3.55,771.9 nm
11ed_14b_13ea,-5.25,-3.56,770.25 nm
13ed_39b_11ea,-5.31,-3.56,776.47 nm
6ed_15b_13ea,-5.49,-3.56,776.05 nm
