Name,"CAM-B3LYP/6-311G(d,p)","HOMO CAM-B3LYP/6-311G(d,p)","LUMO CAM-B3LYP/6-311G(d,p)","bhandhlyp/6-311G(d,p)","HOMO bhandhlyp/6-311G(d,p)","LUMO bhandhlyp/6-311G(d,p)","PBE1PBE/6-311G(d,p)","HOMO PBE1PBE/6-311G(d,p)","LUMO PBE1PBE/6-311G(d,p)",LSF
2ed_38b_10ea,1.307,-5.883,-2.97,1.267,-5.518,-3.1,1.172,-5.078,-3.64,1.1655432174299998
7ed_38b_7ea,1.309,-5.712,-2.771,1.264,-5.334,-2.897,1.176,-4.891,-3.441,1.16653470549
11ed_38b_10ea,1.284,-5.905,-3.154,1.221,-5.519,-3.272,1.091,-5.067,-3.77,1.16670435159
7ed_38b_1ea,1.314,-5.936,-3.022,1.275,-5.586,-3.165,1.192,-5.163,-3.718,1.16685972618
16ed_38b_6ea,1.309,-5.898,-2.963,1.268,-5.527,-3.09,1.174,-5.085,-3.634,1.1672526053099999
11ed_38b_11ea,1.287,-5.9,-3.148,1.226,-5.518,-3.267,1.099,-5.069,-3.766,1.16747368386
3ed_38b_4ea,1.311,-6.059,-3.174,1.271,-5.707,-3.318,1.18,-5.291,-3.866,1.1675261935499999
20ed_38b_5ea,1.304,-5.817,-2.969,1.251,-5.435,-3.093,1.154,-5.0,-3.616,1.16836338426
13ed_38b_5ea,1.294,-5.928,-3.121,1.234,-5.534,-3.24,1.12,-5.105,-3.763,1.1684312426999999
7ed_38b_10ea,1.31,-5.84,-2.934,1.269,-5.483,-3.071,1.174,-5.033,-3.602,1.16846624916
20ed_28b_13ea,1.332,-5.986,-3.231,1.297,-5.639,-3.374,1.246,-5.208,-3.849,1.16932202034
16ed_38b_3ea,1.319,-6.006,-3.074,1.284,-5.643,-3.202,1.199,-5.213,-3.752,1.1704152960599998
2ed_38b_11ea,1.314,-5.905,-2.984,1.276,-5.548,-3.118,1.182,-5.106,-3.659,1.17044922528
10ed_38b_1ea,1.311,-5.937,-3.075,1.264,-5.573,-3.205,1.17,-5.142,-3.739,1.17111569265
13ed_28b_13ea,1.322,-6.073,-3.342,1.276,-5.713,-3.482,1.207,-5.285,-3.957,1.1711846283299998
7ed_38b_11ea,1.317,-5.864,-2.948,1.279,-5.514,-3.089,1.184,-5.063,-3.622,1.1733722570099998
6ed_38b_8ea,1.328,-5.999,-3.101,1.307,-5.677,-3.246,1.22,-5.21,-3.759,1.1738001426
5ed_38b_5ea,1.295,-5.822,-3.016,1.238,-5.451,-3.14,1.106,-4.979,-3.648,1.1746701852899997
9ed_41b_13ea,1.282,-5.856,-3.179,1.23,-5.523,-3.32,1.062,-5.013,-3.772,1.1746866112799998
11ed_29b_13ea,1.315,-5.963,-3.222,1.262,-5.598,-3.361,1.17,-5.151,-3.83,1.17597026805
2ed_38b_7ea,1.318,-5.778,-2.82,1.271,-5.393,-2.941,1.179,-4.958,-3.494,1.17638065041
2ed_38b_2ea,1.328,-5.953,-3.001,1.291,-5.589,-3.133,1.207,-5.155,-3.683,1.17846649143
7ed_38b_6ea,1.327,-5.881,-2.929,1.287,-5.518,-3.065,1.201,-5.069,-3.604,1.1794065470399997
2ed_38b_6ea,1.327,-5.928,-2.968,1.286,-5.558,-3.097,1.199,-5.118,-3.645,1.1801244468599998
11ed_38b_7ea,1.301,-5.806,-3.0,1.233,-5.404,-3.113,1.106,-4.962,-3.631,1.18195204839
6ed_44b_4ea,1.303,-5.894,-3.057,1.245,-5.53,-3.187,1.111,-5.068,-3.714,1.1825845865399998
16ed_38b_8ea,1.336,-6.086,-3.162,1.314,-5.749,-3.297,1.222,-5.301,-3.831,1.18279139358
20ed_38b_1ea,1.326,-5.98,-3.094,1.278,-5.615,-3.228,1.187,-5.192,-3.77,1.18321820193
11ed_36b_4ea,1.324,-6.146,-3.379,1.284,-5.794,-3.501,1.179,-5.331,-3.987,1.1836625135099998
11ed_38b_8ea,1.308,-6.125,-3.423,1.259,-5.767,-3.542,1.124,-5.294,-4.02,1.1839864569599998
11ed_38b_2ea,1.305,-5.945,-3.179,1.244,-5.562,-3.298,1.113,-5.111,-3.804,1.1842939744199998
7ed_38b_2ea,1.335,-5.911,-2.96,1.298,-5.556,-3.099,1.214,-5.112,-3.641,1.1844493490099999
