,HOMO Ranks, HOMO Values,LUMO Ranks,LUMO Values,Wavelength Ranks,Wavelength Values
870,1ed_25b_7ea,-5.433729085844883,5ed_26b_3ea,-3.030510404142073,3ed_3b_3ea,465.10992039408916
871,11ed_23b_8ea,-5.433499492189431,11ed_25b_9ea,-3.0306346962274895,9ed_13b_6ea,465.05903499097445
872,11ed_7b_3ea,-5.432511660213532,10ed_21b_5ea,-3.032459315966302,11ed_13b_1ea,465.02855852156637
873,10ed_25b_8ea,-5.432364407164174,2ed_26b_6ea,-3.0339116097555885,11ed_13b_11ea,465.02647233411363
874,11ed_6b_8ea,-5.432189370452619,7ed_7b_8ea,-3.0343945824374363,1ed_3b_1ea,464.96018577955726
875,11ed_7b_11ea,-5.431905978539339,11ed_2b_5ea,-3.0352947431785564,11ed_13b_9ea,464.9153839412712
876,6ed_8b_11ea,-5.4312560954206175,5ed_21b_2ea,-3.0362735919415593,3ed_3b_2ea,464.8708760982414
877,5ed_9b_4ea,-5.4301283347532445,1ed_10b_3ea,-3.0372670196585076,10ed_3b_10ea,464.7921838374601
878,5ed_2b_3ea,-5.430110654895991,7ed_8b_10ea,-3.0380806402768146,7ed_3b_9ea,464.77894277037217
879,5ed_8b_1ea,-5.429415559952246,11ed_14b_5ea,-3.038112790634316,2ed_3b_11ea,464.59257256833655
880,11ed_13b_1ea,-5.428981883848124,5ed_21b_10ea,-3.0382838120311786,7ed_13b_8ea,464.5378056780116
881,7ed_23b_11ea,-5.428619182470234,5ed_22b_7ea,-3.0404271099079914,10ed_3b_9ea,464.53173915926936
882,6ed_11b_4ea,-5.428232990646551,5ed_21b_3ea,-3.0404611274671938,5ed_11b_8ea,464.44256470259216
883,7ed_3b_9ea,-5.428065026598455,1ed_8b_6ea,-3.0415128709999175,5ed_25b_8ea,464.2957673697937
884,6ed_25b_11ea,-5.427526278128517,1ed_21b_3ea,-3.0418093097301093,5ed_22b_6ea,464.15609945961165
885,9ed_13b_8ea,-5.42692918288713,7ed_14b_8ea,-3.0429903966466276,11ed_14b_6ea,464.13503362333984
886,11ed_7b_6ea,-5.42671676570008,10ed_24b_3ea,-3.0431313265347515,7ed_3b_11ea,464.1279567896737
887,5ed_3b_8ea,-5.426436656622707,11ed_2b_2ea,-3.043799157613619,2ed_3b_9ea,464.1079127465918
888,10ed_11b_3ea,-5.426403569363615,1ed_3b_2ea,-3.0441490525082724,6ed_6b_3ea,464.0700758394378
889,5ed_13b_11ea,-5.42594008883631,2ed_7b_9ea,-3.0455379791834054,6ed_23b_4ea,463.890170636798
890,6ed_17b_11ea,-5.425574356316935,5ed_11b_8ea,-3.045750128286612,5ed_11b_1ea,463.843228341203
891,1ed_20b_10ea,-5.424606476653704,9ed_14b_3ea,-3.0467970121680206,11ed_13b_10ea,463.70605656164713
892,7ed_23b_3ea,-5.424272569318504,11ed_20b_7ea,-3.048361077937543,6ed_11b_1ea,463.643096849946
893,10ed_8b_10ea,-5.42414804802887,9ed_13b_3ea,-3.0495847764679795,11ed_24b_5ea,463.59818981906847
894,1ed_9b_5ea,-5.423974021697811,5ed_22b_2ea,-3.051238183162866,1ed_3b_11ea,463.535888782379
895,10ed_17b_10ea,-5.4228634374988385,10ed_13b_9ea,-3.051564713401796,9ed_13b_7ea,463.50214073148663
896,10ed_24b_2ea,-5.42276872063239,6ed_8b_5ea,-3.0520946070421537,1ed_15b_2ea,463.4729898247192
897,5ed_13b_2ea,-5.422610101703169,1ed_26b_3ea,-3.052966543476236,3ed_22b_7ea,463.45018318349526
898,11ed_24b_4ea,-5.422395915449557,11ed_25b_5ea,-3.0532055999915024,11ed_2b_7ea,463.37770176988494
899,6ed_6b_8ea,-5.422296146680637,5ed_8b_10ea,-3.053513816873088,5ed_13b_8ea,463.29669941940074
900,11ed_2b_3ea,-5.421930414161263,9ed_3b_2ea,-3.054910595649149,5ed_17b_8ea,463.2836664094986
901,7ed_10b_3ea,-5.421466933633957,1ed_21b_2ea,-3.0551107749539,5ed_21b_5ea,463.2073199679788
902,6ed_24b_11ea,-5.421186572862159,10ed_23b_8ea,-3.0553315181118217,1ed_21b_5ea,463.1702792488721
903,6ed_11b_6ea,-5.421009263695191,7ed_6b_8ea,-3.055344229864065,3ed_12b_9ea,463.0215739940116
904,6ed_10b_8ea,-5.420817050515236,10ed_8b_9ea,-3.05573972882225,5ed_21b_11ea,462.98900709423344
905,5ed_22b_11ea,-5.420708695313509,2ed_6b_9ea,-3.0561537327848436,10ed_3b_3ea,462.7116364132951
906,1ed_10b_2ea,-5.419774661595439,5ed_21b_5ea,-3.056398774199339,3ed_2b_1ea,462.5398424223173
907,7ed_2b_5ea,-5.4196405434925055,6ed_6b_8ea,-3.056782878300258,1ed_3b_9ea,462.4350745588476
908,3ed_20b_2ea,-5.419478134735734,3ed_8b_6ea,-3.059976794461881,5ed_25b_5ea,462.4298423201655
909,11ed_9b_4ea,-5.419110381455372,9ed_9b_5ea,-3.0613679716328415,7ed_3b_2ea,462.3447949399953
910,9ed_17b_8ea,-5.418980556568842,3ed_20b_5ea,-3.0631933333254406,7ed_23b_4ea,462.24578378860446
911,5ed_5b_1ea,-5.418712572057401,6ed_2b_3ea,-3.063304171704827,2ed_3b_3ea,462.21020670470347
912,5ed_24b_4ea,-5.418462267403212,10ed_17b_8ea,-3.06434526233407,11ed_23b_10ea,461.94608355904575
913,6ed_7b_10ea,-5.4183076899959675,2ed_1b_7ea,-3.06577306621972,3ed_22b_1ea,461.9389160692315
914,10ed_11b_6ea,-5.418192262130782,5ed_14b_3ea,-3.0667354688270803,5ed_7b_8ea,461.9108557346031
915,7ed_3b_10ea,-5.416482561929436,11ed_11b_3ea,-3.0698927582740136,2ed_3b_1ea,461.9069858454466
916,11ed_7b_1ea,-5.4164219427025735,5ed_21b_11ea,-3.070184337352891,6ed_25b_5ea,461.5834458687461
917,5ed_21b_8ea,-5.416308535598375,1ed_17b_9ea,-3.07046993153254,5ed_2b_5ea,461.56329272475773
