Name,HOMO Donor,LUMO Donor,HOMO Backbone,LUMO Backbone,HOMO Acceptor,LUMO Acceptor,HOMO Anchor,LUMO Anchor
11ed_44b_2ea,60.68,1.27,36.79,97.89,0.49,0.78,0.21,0.33
19ed_44b_2ea,2.93,0.6,95.21,98.59,1.68,0.75,0.77,0.33
17ed_44b_2ea,5.17,0.58,93.05,98.61,1.6,0.75,0.73,0.33
9ed_44b_1ea,62.9,1.41,34.13,97.32,0.5,1.2,0.11,0.33
13ed_44b_2ea,34.97,1.06,63.86,98.14,0.97,0.75,0.44,0.33
6ed_28b_10ea,20.53,4.92,71.2,91.49,7.8,3.45,0.52,0.32
7ed_41b_7ea,19.66,3.32,74.5,94.85,4.3,1.46,1.52,0.32
2ed_28b_10ea,16.49,3.82,74.77,92.48,8.6,3.63,0.57,0.32
13ed_28b_10ea,30.3,5.63,62.46,90.64,7.11,3.7,0.47,0.32
6ed_39b_6ea,49.77,2.72,47.89,96.17,1.08,0.71,0.42,0.3
16ed_39b_6ea,55.15,2.27,43.52,96.64,1.01,0.72,0.39,0.3
2ed_39b_6ea,41.75,2.06,56.5,96.85,1.45,0.72,0.56,0.3
7ed_39b_6ea,35.89,2.2,61.51,96.64,1.64,0.7,0.63,0.29
3ed_36b_10ea,22.11,11.5,51.34,84.68,26.32,3.48,1.98,0.29
9ed_39b_6ea,81.01,2.57,15.43,96.33,0.23,0.71,0.09,0.29
10ed_44b_9ea,18.23,0.82,76.36,97.96,3.9,1.11,1.03,0.29
14ed_44b_9ea,93.01,0.56,1.32,98.23,0.06,1.15,0.02,0.29
7ed_44b_9ea,12.58,1.39,83.05,97.41,3.98,1.12,1.02,0.28
20ed_44b_9ea,13.52,0.76,80.23,97.97,4.35,1.14,1.13,0.28
2ed_44b_9ea,14.47,1.22,81.25,97.62,4.09,1.09,1.08,0.28
13ed_44b_9ea,26.51,1.03,69.44,97.8,3.81,1.11,1.02,0.28
10ed_30b_10ea,36.14,3.74,55.96,93,5.31,3.05,0.35,0.26
5ed_30b_10ea,61.17,3.77,34.86,93.09,2.9,3.08,0.19,0.26
7ed_36b_10ea,25.24,13.18,49.29,83.26,24.87,3.11,1.82,0.26
9ed_30b_10ea,64.36,4.9,30.87,91.93,2.35,3.1,0.15,0.26
6ed_30b_10ea,32.93,4.61,60.84,92.29,5.43,2.92,0.36,0.25
16ed_30b_10ea,36.34,3.66,57.98,93.27,5.48,2.95,0.37,0.25
13ed_30b_10ea,59.68,4.27,36.75,92.62,3.35,3.09,0.22,0.25
11ed_30b_10ea,68.83,4.87,26.78,91.99,2.11,3.1,0.14,0.25
6ed_33b_7ea,39.24,1.59,58.69,97.51,1.09,0.82,0.31,0.24
7ed_30b_10ea,25.42,4.41,67.14,92.54,6.75,2.84,0.45,0.24
14ed_44b_6ea,93.46,0.55,0.88,98.84,0.01,0.56,0,0.23
5ed_44b_6ea,59.7,0.92,38.64,98.47,0.51,0.55,0.2,0.23
1ed_44b_6ea,21.58,0.7,76.93,98.69,1.26,0.55,0.48,0.23
19ed_44b_6ea,2.91,0.59,95.17,98.8,1.74,0.56,0.67,0.23
17ed_44b_6ea,5.08,0.57,93.08,98.82,1.65,0.56,0.64,0.23
13ed_44b_6ea,33.9,0.98,64.87,98.4,0.99,0.56,0.38,0.23
21ed_38b_10ea,9.82,3.01,79.39,94.12,10.4,2.74,0.7,0.22
6ed_44b_6ea,24.87,1.73,73.46,97.66,1,0.53,0.39,0.22
21ed_44b_11ea,2.91,0.53,94.25,98.63,2.62,0.77,0.54,0.22
16ed_44b_6ea,22.21,1.38,76.45,98.02,1.11,0.54,0.43,0.22
2ed_44b_6ea,15.78,1.26,82.74,98.14,1.26,0.55,0.49,0.22
20ed_44b_11ea,15.16,0.72,80.71,98.37,1.97,0.78,0.41,0.22
9ed_44b_11ea,60.96,1.4,36.07,97.77,0.64,0.78,0.13,0.22
14ed_38b_10ea,92.14,3.25,2.13,93.83,0.24,2.85,0.02,0.22
9ed_38b_10ea,42.94,7.07,50.06,90.03,5.69,2.79,0.38,0.22
7ed_44b_11ea,13.53,1.43,84.16,97.75,1.92,0.75,0.4,0.21
6ed_44b_11ea,24.48,1.79,73.39,97.38,1.49,0.75,0.31,0.21
20ed_38b_10ea,20.68,4.39,68.27,92.41,8.39,2.68,0.56,0.21
3ed_44b_11ea,10.06,1.15,87.59,98.03,2.14,0.76,0.44,0.21
16ed_44b_11ea,21.95,1.43,76.14,97.76,1.69,0.76,0.35,0.21
5ed_38b_10ea,39.87,5.4,53.26,91.8,6.24,2.72,0.41,0.21
2ed_44b_11ea,15.75,1.27,82.14,97.91,1.93,0.76,0.4,0.21
14ed_44b_11ea,93.49,0.57,0.85,98.6,0.02,0.78,0,0.21
5ed_44b_11ea,59.59,0.97,38.5,98.21,0.76,0.77,0.16,0.21
1ed_44b_11ea,21.52,0.72,76.24,98.44,2,0.78,0.41,0.21
19ed_44b_11ea,2.85,0.6,94.2,98.57,2.78,0.77,0.57,0.21
17ed_44b_11ea,4.98,0.57,92.18,98.59,2.67,0.78,0.55,0.21
2ed_38b_10ea,17.45,5.3,73.29,92.15,9.12,2.46,0.61,0.2
10ed_44b_11ea,20.74,0.85,75.88,98.32,1.69,0.74,0.35,0.2
9ed_44b_6ea,60.83,1.36,36.46,98.08,0.39,0.5,0.15,0.2
11ed_44b_6ea,59.93,1.24,37.63,98.2,0.43,0.5,0.16,0.2
7ed_38b_10ea,16.4,5.85,73.8,91.65,9.41,2.32,0.63,0.19
16ed_38b_10ea,20.9,5.81,70.33,91.65,8.62,2.42,0.57,0.19
